Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774587868,5,,Aggregated,1.500000,0.000000,1400,1400,1500,1600,1800,1800,1900,1900,1900,1900,1900,40,0,1400.0,1222.3864650004543,249.25789999542758,1885.3563999873586,417.675
1774587869,5,,Aggregated,1.600000,0.000000,1400,1400,1500,1500,1700,1800,1900,1900,1900,1900,1900,43,0,1400.0,1154.5669209309528,248.94790002144873,1885.3563999873586,388.5348837209302
1774587870,5,,Aggregated,1.500000,0.000000,1400,1400,1400,1500,1700,1800,1900,1900,1900,1900,1900,45,0,1400.0,1137.912075556556,248.94790002144873,1885.3563999873586,382.93333333333334
1774587871,5,,Aggregated,1.800000,0.000000,1400,1400,1400,1500,1700,1800,1900,1900,1900,1900,1900,46,0,1400.0,1143.743800001887,248.94790002144873,1885.3563999873586,385.8695652173913
1774587872,5,,Aggregated,1.700000,0.000000,1400,1400,1400,1500,1700,1800,1900,1900,1900,1900,1900,48,0,1300.0,1150.440789584536,248.94790002144873,1885.3563999873586,392.25
1774587873,5,,Aggregated,1.700000,0.000000,1300,1400,1400,1500,1700,1800,1900,1900,1900,1900,1900,49,0,1300.0,1132.111285715744,248.94790002144873,1885.3563999873586,384.2448979591837
1774587874,5,,Aggregated,1.900000,0.000000,1300,1400,1400,1500,1600,1800,1800,1900,1900,1900,1900,51,0,1300.0,1142.2155666674087,248.94790002144873,1885.3563999873586,389.29411764705884
1774587875,5,,Aggregated,1.700000,0.000000,1300,1400,1400,1500,1600,1800,1800,1900,1900,1900,1900,53,0,1300.0,1150.4508528313688,248.94790002144873,1885.3563999873586,393.811320754717
1774587876,5,,Aggregated,1.800000,0.000000,1300,1400,1400,1500,1600,1800,1800,1900,1900,1900,1900,54,0,1300.0,1133.9800314831168,248.94790002144873,1885.3563999873586,386.51851851851853
1774587877,5,,Aggregated,1.700000,0.000000,1300,1400,1400,1500,1600,1800,1800,1900,1900,1900,1900,55,0,1300.0,1140.0286200011826,248.94790002144873,1885.3563999873586,389.4909090909091
1774587878,5,,Aggregated,1.800000,0.000000,1400,1400,1500,1500,1600,1800,1800,1900,1900,1900,1900,58,0,1400.0,1156.6521896557192,248.94790002144873,1885.3563999873586,394.87931034482756
1774587879,5,,Aggregated,1.700000,0.000000,1400,1400,1500,1500,1600,1800,1800,1900,1900,1900,1900,59,0,1400.0,1158.6000067803425,248.94790002144873,1885.3563999873586,397.6779661016949
1774587880,5,,Aggregated,1.700000,0.000000,1400,1400,1500,1500,1600,1800,1800,1900,1900,1900,1900,59,0,1400.0,1158.6000067803425,248.94790002144873,1885.3563999873586,397.6779661016949
1774587881,5,,Aggregated,1.600000,0.000000,1400,1400,1500,1500,1600,1800,1800,1900,1900,1900,1900,63,0,1400.0,1183.433828571449,248.94790002144873,1885.3563999873586,405.55555555555554
1774587882,5,,Aggregated,1.600000,0.000000,1400,1400,1500,1500,1600,1800,1800,1900,1900,1900,1900,64,0,1400.0,1186.0576828121339,248.94790002144873,1885.3563999873586,407.609375
1774587883,5,,Aggregated,1.400000,0.000000,1400,1400,1500,1500,1600,1800,1800,1900,1900,1900,1900,65,0,1400.0,1186.8473476918343,248.94790002144873,1885.3563999873586,409.4
